epoch,auc,categorical_accuracy,f1,f1_macro,f1_micro,f1_weighted,learning_rate,loss,precision,recall,val_auc,val_categorical_accuracy,val_f1,val_f1_macro,val_f1_micro,val_f1_weighted,val_loss,val_precision,val_recall
0,0.8601752519607544,0.5148678421974182,"""[tf.Tensor(0.45210376, shape=(), dtype=float32), tf.Tensor(0.22677593, shape=(), dtype=float32), tf.Tensor(0.7158639, shape=(), dtype=float32), tf.Tensor(0.5180635, shape=(), dtype=float32), tf.Tensor(0.26822424, shape=(), dtype=float32), tf.Tensor(0.13173649, shape=(), dtype=float32), tf.Tensor(0.3920265, shape=(), dtype=float32), tf.Tensor(0.43921566, shape=(), dtype=float32), tf.Tensor(0.325835, shape=(), dtype=float32), tf.Tensor(0.75418127, shape=(), dtype=float32)]""",0.42240262031555176,0.5148677825927734,0.5258291363716125,9.999999747378752e-05,1.5666919946670532,0.8969435691833496,0.1800660789012909,0.7653051018714905,0.3935389220714569,"""[tf.Tensor(0.22589529, shape=(), dtype=float32), tf.Tensor(0.082191736, shape=(), dtype=float32), tf.Tensor(0.072580636, shape=(), dtype=float32), tf.Tensor(0.35284677, shape=(), dtype=float32), tf.Tensor(0.036585342, shape=(), dtype=float32), tf.Tensor(0.0, shape=(), dtype=float32), tf.Tensor(0.0, shape=(), dtype=float32), tf.Tensor(0.0, shape=(), dtype=float32), tf.Tensor(0.0, shape=(), dtype=float32), tf.Tensor(0.6518151, shape=(), dtype=float32)]""",0.14219148457050323,0.39353886246681213,0.2687009274959564,1.8408889770507812,0.9776785969734192,0.16079294681549072
1,0.9291770458221436,0.6636249423027039,"""[tf.Tensor(0.6682758, shape=(), dtype=float32), tf.Tensor(0.29901516, shape=(), dtype=float32), tf.Tensor(0.8241578, shape=(), dtype=float32), tf.Tensor(0.61434466, shape=(), dtype=float32), tf.Tensor(0.49226227, shape=(), dtype=float32), tf.Tensor(0.30890045, shape=(), dtype=float32), tf.Tensor(0.53916204, shape=(), dtype=float32), tf.Tensor(0.5764948, shape=(), dtype=float32), tf.Tensor(0.4907018, shape=(), dtype=float32), tf.Tensor(0.83734155, shape=(), dtype=float32)]""",0.5650656223297119,0.6636248826980591,0.654413104057312,9.999999747378752e-05,1.1930372714996338,0.9011914730072021,0.34510698914527893,0.9540126919746399,0.7198972105979919,"""[tf.Tensor(0.66343826, shape=(), dtype=float32), tf.Tensor(0.30622008, shape=(), dtype=float32), tf.Tensor(0.9239999, shape=(), dtype=float32), tf.Tensor(0.6815415, shape=(), dtype=float32), tf.Tensor(0.59663856, shape=(), dtype=float32), tf.Tensor(0.27692306, shape=(), dtype=float32), tf.Tensor(0.5796661, shape=(), dtype=float32), tf.Tensor(0.6637744, shape=(), dtype=float32), tf.Tensor(0.643617, shape=(), dtype=float32), tf.Tensor(0.8772362, shape=(), dtype=float32)]""",0.6213054656982422,0.7198971509933472,0.7105262875556946,1.0064033269882202,0.9177583456039429,0.46292218565940857
2,0.9478276371955872,0.7020925283432007,"""[tf.Tensor(0.70525956, shape=(), dtype=float32), tf.Tensor(0.33146062, shape=(), dtype=float32), tf.Tensor(0.84795314, shape=(), dtype=float32), tf.Tensor(0.6614291, shape=(), dtype=float32), tf.Tensor(0.5795724, shape=(), dtype=float32), tf.Tensor(0.33333328, shape=(), dtype=float32), tf.Tensor(0.5820386, shape=(), dtype=float32), tf.Tensor(0.6108173, shape=(), dtype=float32), tf.Tensor(0.5603593, shape=(), dtype=float32), tf.Tensor(0.860939, shape=(), dtype=float32)]""",0.6073161959648132,0.7020924687385559,0.6923387050628662,9.999999747378752e-05,1.0303945541381836,0.8945379853248596,0.44705790281295776,0.9477701187133789,0.6806167364120483,"""[tf.Tensor(0.7683453, shape=(), dtype=float32), tf.Tensor(0.2608695, shape=(), dtype=float32), tf.Tensor(0.8722467, shape=(), dtype=float32), tf.Tensor(0.6720321, shape=(), dtype=float32), tf.Tensor(0.551724, shape=(), dtype=float32), tf.Tensor(0.3797468, shape=(), dtype=float32), tf.Tensor(0.42696628, shape=(), dtype=float32), tf.Tensor(0.53872824, shape=(), dtype=float32), tf.Tensor(0.28865975, shape=(), dtype=float32), tf.Tensor(0.8557102, shape=(), dtype=float32)]""",0.5615029335021973,0.6806166768074036,0.6543054580688477,0.9819869995117188,0.8194906115531921,0.5433186292648315
3,0.9554048180580139,0.7245122790336609,"""[tf.Tensor(0.7317392, shape=(), dtype=float32), tf.Tensor(0.36657164, shape=(), dtype=float32), tf.Tensor(0.8671446, shape=(), dtype=float32), tf.Tensor(0.67364484, shape=(), dtype=float32), tf.Tensor(0.61449754, shape=(), dtype=float32), tf.Tensor(0.4071246, shape=(), dtype=float32), tf.Tensor(0.6013122, shape=(), dtype=float32), tf.Tensor(0.65676564, shape=(), dtype=float32), tf.Tensor(0.61629784, shape=(), dtype=float32), tf.Tensor(0.86494803, shape=(), dtype=float32)]""",0.6400046348571777,0.7245121598243713,0.7153125405311584,9.999999747378752e-05,0.943925678730011,0.8828766942024231,0.5070012807846069,0.9678201675415039,0.7540381550788879,"""[tf.Tensor(0.77715874, shape=(), dtype=float32), tf.Tensor(0.42727265, shape=(), dtype=float32), tf.Tensor(0.93599993, shape=(), dtype=float32), tf.Tensor(0.71690416, shape=(), dtype=float32), tf.Tensor(0.6153846, shape=(), dtype=float32), tf.Tensor(0.43956038, shape=(), dtype=float32), tf.Tensor(0.5933014, shape=(), dtype=float32), tf.Tensor(0.6709061, shape=(), dtype=float32), tf.Tensor(0.6285714, shape=(), dtype=float32), tf.Tensor(0.86922646, shape=(), dtype=float32)]""",0.6674286127090454,0.7540380954742432,0.738057017326355,0.8163819909095764,0.9021615386009216,0.5822319984436035
4,0.9619284272193909,0.7376494407653809,"""[tf.Tensor(0.7307691, shape=(), dtype=float32), tf.Tensor(0.3753449, shape=(), dtype=float32), tf.Tensor(0.8908934, shape=(), dtype=float32), tf.Tensor(0.6925925, shape=(), dtype=float32), tf.Tensor(0.6399358, shape=(), dtype=float32), tf.Tensor(0.44878045, shape=(), dtype=float32), tf.Tensor(0.6092453, shape=(), dtype=float32), tf.Tensor(0.67788255, shape=(), dtype=float32), tf.Tensor(0.6456102, shape=(), dtype=float32), tf.Tensor(0.87384605, shape=(), dtype=float32)]""",0.6584900617599487,0.7376493811607361,0.7295565009117126,9.999999747378752e-05,0.8736350536346436,0.8774177432060242,0.549559473991394,0.9666661024093628,0.7511013150215149,"""[tf.Tensor(0.66588223, shape=(), dtype=float32), tf.Tensor(0.29508194, shape=(), dtype=float32), tf.Tensor(0.94164985, shape=(), dtype=float32), tf.Tensor(0.75849724, shape=(), dtype=float32), tf.Tensor(0.7025089, shape=(), dtype=float32), tf.Tensor(0.62745094, shape=(), dtype=float32), tf.Tensor(0.73131305, shape=(), dtype=float32), tf.Tensor(0.6769759, shape=(), dtype=float32), tf.Tensor(0.38951308, shape=(), dtype=float32), tf.Tensor(0.90208465, shape=(), dtype=float32)]""",0.6690958142280579,0.7511012554168701,0.7362120151519775,0.800790548324585,0.8777544498443604,0.6141703128814697
5,0.9666897654533386,0.7529892921447754,"""[tf.Tensor(0.7595865, shape=(), dtype=float32), tf.Tensor(0.39302105, shape=(), dtype=float32), tf.Tensor(0.8789973, shape=(), dtype=float32), tf.Tensor(0.70605713, shape=(), dtype=float32), tf.Tensor(0.6772402, shape=(), dtype=float32), tf.Tensor(0.48557687, shape=(), dtype=float32), tf.Tensor(0.6448784, shape=(), dtype=float32), tf.Tensor(0.6932565, shape=(), dtype=float32), tf.Tensor(0.65253353, shape=(), dtype=float32), tf.Tensor(0.88468945, shape=(), dtype=float32)]""",0.677583634853363,0.7529892325401306,0.7456164360046387,9.999999747378752e-05,0.812160074710846,0.880840003490448,0.5873190760612488,0.9553042054176331,0.6941996812820435,"""[tf.Tensor(0.6386191, shape=(), dtype=float32), tf.Tensor(0.42499995, shape=(), dtype=float32), tf.Tensor(0.8663594, shape=(), dtype=float32), tf.Tensor(0.76225036, shape=(), dtype=float32), tf.Tensor(0.6920635, shape=(), dtype=float32), tf.Tensor(0.2465753, shape=(), dtype=float32), tf.Tensor(0.38787878, shape=(), dtype=float32), tf.Tensor(0.63070536, shape=(), dtype=float32), tf.Tensor(0.51474524, shape=(), dtype=float32), tf.Tensor(0.86369765, shape=(), dtype=float32)]""",0.6027894616127014,0.6941996216773987,0.6862794756889343,0.9083885550498962,0.8187327980995178,0.5455213189125061
6,0.968542218208313,0.7577879428863525,"""[tf.Tensor(0.75304174, shape=(), dtype=float32), tf.Tensor(0.40850273, shape=(), dtype=float32), tf.Tensor(0.8851322, shape=(), dtype=float32), tf.Tensor(0.72245044, shape=(), dtype=float32), tf.Tensor(0.6602564, shape=(), dtype=float32), tf.Tensor(0.5128204, shape=(), dtype=float32), tf.Tensor(0.64135695, shape=(), dtype=float32), tf.Tensor(0.70719594, shape=(), dtype=float32), tf.Tensor(0.6717869, shape=(), dtype=float32), tf.Tensor(0.88592327, shape=(), dtype=float32)]""",0.6848466992378235,0.7577879428863525,0.7504280805587769,9.999999747378752e-05,0.7808435559272766,0.876888632774353,0.6163467764854431,0.9588146209716797,0.7107195258140564,"""[tf.Tensor(0.8046647, shape=(), dtype=float32), tf.Tensor(0.19047616, shape=(), dtype=float32), tf.Tensor(0.9017093, shape=(), dtype=float32), tf.Tensor(0.7162427, shape=(), dtype=float32), tf.Tensor(0.6787003, shape=(), dtype=float32), tf.Tensor(0.11940297, shape=(), dtype=float32), tf.Tensor(0.5179063, shape=(), dtype=float32), tf.Tensor(0.5251875, shape=(), dtype=float32), tf.Tensor(0.40830445, shape=(), dtype=float32), tf.Tensor(0.8944246, shape=(), dtype=float32)]""",0.575701892375946,0.7107194662094116,0.6915165185928345,0.8567334413528442,0.8002806305885315,0.6281204223632812
7,0.9726458191871643,0.7699811458587646,"""[tf.Tensor(0.778631, shape=(), dtype=float32), tf.Tensor(0.41973087, shape=(), dtype=float32), tf.Tensor(0.9085339, shape=(), dtype=float32), tf.Tensor(0.7101612, shape=(), dtype=float32), tf.Tensor(0.68759805, shape=(), dtype=float32), tf.Tensor(0.5661253, shape=(), dtype=float32), tf.Tensor(0.66931945, shape=(), dtype=float32), tf.Tensor(0.7244094, shape=(), dtype=float32), tf.Tensor(0.67920685, shape=(), dtype=float32), tf.Tensor(0.89129305, shape=(), dtype=float32)]""",0.7035008668899536,0.7699810862541199,0.7638036012649536,9.999999747378752e-05,0.728496789932251,0.8775774836540222,0.6394745111465454,0.9796006083488464,0.8043318390846252,"""[tf.Tensor(0.82978714, shape=(), dtype=float32), tf.Tensor(0.49090907, shape=(), dtype=float32), tf.Tensor(0.9184548, shape=(), dtype=float32), tf.Tensor(0.80067563, shape=(), dtype=float32), tf.Tensor(0.7109375, shape=(), dtype=float32), tf.Tensor(0.43037972, shape=(), dtype=float32), tf.Tensor(0.6974596, shape=(), dtype=float32), tf.Tensor(0.7607572, shape=(), dtype=float32), tf.Tensor(0.69425285, shape=(), dtype=float32), tf.Tensor(0.90509254, shape=(), dtype=float32)]""",0.7238706350326538,0.8043317794799805,0.7938936948776245,0.6190405488014221,0.8855311274528503,0.7099853157997131
8,0.9739232063293457,0.7758023738861084,"""[tf.Tensor(0.7755237, shape=(), dtype=float32), tf.Tensor(0.4526315, shape=(), dtype=float32), tf.Tensor(0.90829694, shape=(), dtype=float32), tf.Tensor(0.7273413, shape=(), dtype=float32), tf.Tensor(0.6925515, shape=(), dtype=float32), tf.Tensor(0.5695363, shape=(), dtype=float32), tf.Tensor(0.66693187, shape=(), dtype=float32), tf.Tensor(0.72287136, shape=(), dtype=float32), tf.Tensor(0.6963645, shape=(), dtype=float32), tf.Tensor(0.8979643, shape=(), dtype=float32)]""",0.7110012769699097,0.7758023142814636,0.7702857255935669,9.999999747378752e-05,0.7042962312698364,0.8771985173225403,0.659140944480896,0.9839977025985718,0.8300293684005737,"""[tf.Tensor(0.8661156, shape=(), dtype=float32), tf.Tensor(0.30167598, shape=(), dtype=float32), tf.Tensor(0.9693251, shape=(), dtype=float32), tf.Tensor(0.783699, shape=(), dtype=float32), tf.Tensor(0.7573528, shape=(), dtype=float32), tf.Tensor(0.7037036, shape=(), dtype=float32), tf.Tensor(0.770428, shape=(), dtype=float32), tf.Tensor(0.7764297, shape=(), dtype=float32), tf.Tensor(0.75200003, shape=(), dtype=float32), tf.Tensor(0.9237137, shape=(), dtype=float32)]""",0.7604443430900574,0.830029308795929,0.8169760704040527,0.5569565296173096,0.9069350957870483,0.7441262602806091
9,0.9758418798446655,0.7817023396492004,"""[tf.Tensor(0.7950147, shape=(), dtype=float32), tf.Tensor(0.46944192, shape=(), dtype=float32), tf.Tensor(0.9044697, shape=(), dtype=float32), tf.Tensor(0.71836734, shape=(), dtype=float32), tf.Tensor(0.7153052, shape=(), dtype=float32), tf.Tensor(0.59111106, shape=(), dtype=float32), tf.Tensor(0.6831801, shape=(), dtype=float32), tf.Tensor(0.7412705, shape=(), dtype=float32), tf.Tensor(0.69817066, shape=(), dtype=float32), tf.Tensor(0.89571977, shape=(), dtype=float32)]""",0.7212051153182983,0.7817022800445557,0.7766112089157104,9.999999747378752e-05,0.6772544384002686,0.8788683414459229,0.6769194602966309,0.9839326739311218,0.8289280533790588,"""[tf.Tensor(0.81985813, shape=(), dtype=float32), tf.Tensor(0.35789472, shape=(), dtype=float32), tf.Tensor(0.9330708, shape=(), dtype=float32), tf.Tensor(0.81045747, shape=(), dtype=float32), tf.Tensor(0.7681159, shape=(), dtype=float32), tf.Tensor(0.7194244, shape=(), dtype=float32), tf.Tensor(0.76231253, shape=(), dtype=float32), tf.Tensor(0.7815275, shape=(), dtype=float32), tf.Tensor(0.7445651, shape=(), dtype=float32), tf.Tensor(0.937037, shape=(), dtype=float32)]""",0.7634263634681702,0.8289279341697693,0.8182082176208496,0.5466793775558472,0.8933920860290527,0.7444933652877808
10,0.9756718277931213,0.7898049354553223,"""[tf.Tensor(0.79880273, shape=(), dtype=float32), tf.Tensor(0.49436244, shape=(), dtype=float32), tf.Tensor(0.9171806, shape=(), dtype=float32), tf.Tensor(0.7498121, shape=(), dtype=float32), tf.Tensor(0.69647056, shape=(), dtype=float32), tf.Tensor(0.59649116, shape=(), dtype=float32), tf.Tensor(0.69422144, shape=(), dtype=float32), tf.Tensor(0.748015, shape=(), dtype=float32), tf.Tensor(0.70996976, shape=(), dtype=float32), tf.Tensor(0.89780074, shape=(), dtype=float32)]""",0.7303126454353333,0.7898048758506775,0.7851952314376831,9.999999747378752e-05,0.6669690608978271,0.8728611469268799,0.6902139782905579,0.9837725162506104,0.8300293684005737,"""[tf.Tensor(0.8744037, shape=(), dtype=float32), tf.Tensor(0.5643153, shape=(), dtype=float32), tf.Tensor(0.90990984, shape=(), dtype=float32), tf.Tensor(0.8272425, shape=(), dtype=float32), tf.Tensor(0.7172995, shape=(), dtype=float32), tf.Tensor(0.7559054, shape=(), dtype=float32), tf.Tensor(0.7577639, shape=(), dtype=float32), tf.Tensor(0.7676767, shape=(), dtype=float32), tf.Tensor(0.7157464, shape=(), dtype=float32), tf.Tensor(0.93383265, shape=(), dtype=float32)]""",0.7824095487594604,0.830029308795929,0.8288784027099609,0.553164541721344,0.8929043412208557,0.7437591552734375
11,0.9776318669319153,0.7941315174102783,"""[tf.Tensor(0.79557633, shape=(), dtype=float32), tf.Tensor(0.5008546, shape=(), dtype=float32), tf.Tensor(0.9198237, shape=(), dtype=float32), tf.Tensor(0.7403231, shape=(), dtype=float32), tf.Tensor(0.71462446, shape=(), dtype=float32), tf.Tensor(0.59436005, shape=(), dtype=float32), tf.Tensor(0.7118236, shape=(), dtype=float32), tf.Tensor(0.7469085, shape=(), dtype=float32), tf.Tensor(0.7239451, shape=(), dtype=float32), tf.Tensor(0.90381867, shape=(), dtype=float32)]""",0.7352058291435242,0.7941314578056335,0.7897874116897583,9.999999747378752e-05,0.6395391821861267,0.8775951862335205,0.7016205191612244,0.984299898147583,0.8204845786094666,"""[tf.Tensor(0.7874659, shape=(), dtype=float32), tf.Tensor(0.58139527, shape=(), dtype=float32), tf.Tensor(0.96828747, shape=(), dtype=float32), tf.Tensor(0.83680546, shape=(), dtype=float32), tf.Tensor(0.72727275, shape=(), dtype=float32), tf.Tensor(0.44444442, shape=(), dtype=float32), tf.Tensor(0.70982134, shape=(), dtype=float32), tf.Tensor(0.77408636, shape=(), dtype=float32), tf.Tensor(0.7786667, shape=(), dtype=float32), tf.Tensor(0.9216181, shape=(), dtype=float32)]""",0.7529863119125366,0.8204845190048218,0.8170796632766724,0.5603187680244446,0.8938848972320557,0.7298091053962708
12,0.9790341258049011,0.7969635128974915,"""[tf.Tensor(0.8033003, shape=(), dtype=float32), tf.Tensor(0.5068026, shape=(), dtype=float32), tf.Tensor(0.9143865, shape=(), dtype=float32), tf.Tensor(0.7388868, shape=(), dtype=float32), tf.Tensor(0.70440245, shape=(), dtype=float32), tf.Tensor(0.6144067, shape=(), dtype=float32), tf.Tensor(0.70413476, shape=(), dtype=float32), tf.Tensor(0.76691717, shape=(), dtype=float32), tf.Tensor(0.7311608, shape=(), dtype=float32), tf.Tensor(0.90731573, shape=(), dtype=float32)]""",0.7391713857650757,0.7969634532928467,0.79295414686203,9.999999747378752e-05,0.6196390986442566,0.876801073551178,0.7132630348205566,0.9840027093887329,0.8300293684005737,"""[tf.Tensor(0.8727272, shape=(), dtype=float32), tf.Tensor(0.35294113, shape=(), dtype=float32), tf.Tensor(0.9461077, shape=(), dtype=float32), tf.Tensor(0.79754597, shape=(), dtype=float32), tf.Tensor(0.712, shape=(), dtype=float32), tf.Tensor(0.7289719, shape=(), dtype=float32), tf.Tensor(0.75732213, shape=(), dtype=float32), tf.Tensor(0.78705275, shape=(), dtype=float32), tf.Tensor(0.7320954, shape=(), dtype=float32), tf.Tensor(0.92605627, shape=(), dtype=float32)]""",0.7612820863723755,0.830029308795929,0.8169821500778198,0.528969407081604,0.8810628652572632,0.7668869495391846
13,0.9800363779067993,0.8034141063690186,"""[tf.Tensor(0.8137977, shape=(), dtype=float32), tf.Tensor(0.52975684, shape=(), dtype=float32), tf.Tensor(0.9113149, shape=(), dtype=float32), tf.Tensor(0.7570835, shape=(), dtype=float32), tf.Tensor(0.72257054, shape=(), dtype=float32), tf.Tensor(0.59574467, shape=(), dtype=float32), tf.Tensor(0.7156473, shape=(), dtype=float32), tf.Tensor(0.7631133, shape=(), dtype=float32), tf.Tensor(0.73220676, shape=(), dtype=float32), tf.Tensor(0.9104554, shape=(), dtype=float32)]""",0.7451690435409546,0.8034141063690186,0.7994387745857239,9.999999747378752e-05,0.6038737893104553,0.8768921494483948,0.7200283408164978,0.9874480366706848,0.8469163179397583,"""[tf.Tensor(0.84935427, shape=(), dtype=float32), tf.Tensor(0.52830184, shape=(), dtype=float32), tf.Tensor(0.96265554, shape=(), dtype=float32), tf.Tensor(0.8286189, shape=(), dtype=float32), tf.Tensor(0.74698794, shape=(), dtype=float32), tf.Tensor(0.6972476, shape=(), dtype=float32), tf.Tensor(0.7459677, shape=(), dtype=float32), tf.Tensor(0.816568, shape=(), dtype=float32), tf.Tensor(0.7656903, shape=(), dtype=float32), tf.Tensor(0.9499072, shape=(), dtype=float32)]""",0.7891299724578857,0.8469163179397583,0.841057300567627,0.4784584939479828,0.9000843167304993,0.7837738394737244
14,0.9816344380378723,0.8089993596076965,"""[tf.Tensor(0.8287989, shape=(), dtype=float32), tf.Tensor(0.54406774, shape=(), dtype=float32), tf.Tensor(0.9141077, shape=(), dtype=float32), tf.Tensor(0.7569391, shape=(), dtype=float32), tf.Tensor(0.7254446, shape=(), dtype=float32), tf.Tensor(0.6208425, shape=(), dtype=float32), tf.Tensor(0.7178059, shape=(), dtype=float32), tf.Tensor(0.77051926, shape=(), dtype=float32), tf.Tensor(0.73641837, shape=(), dtype=float32), tf.Tensor(0.914985, shape=(), dtype=float32)]""",0.7529929280281067,0.8089993000030518,0.8054352402687073,9.999999747378752e-05,0.5811553001403809,0.879644513130188,0.7319068312644958,0.9887621998786926,0.8472834229469299,"""[tf.Tensor(0.8909952, shape=(), dtype=float32), tf.Tensor(0.5853658, shape=(), dtype=float32), tf.Tensor(0.9509594, shape=(), dtype=float32), tf.Tensor(0.8310344, shape=(), dtype=float32), tf.Tensor(0.7412587, shape=(), dtype=float32), tf.Tensor(0.7222222, shape=(), dtype=float32), tf.Tensor(0.72892934, shape=(), dtype=float32), tf.Tensor(0.8266666, shape=(), dtype=float32), tf.Tensor(0.7666666, shape=(), dtype=float32), tf.Tensor(0.93222344, shape=(), dtype=float32)]""",0.797632098197937,0.8472833633422852,0.8426453471183777,0.46654030680656433,0.9095177054405212,0.7823054194450378
15,0.9815992116928101,0.810336709022522,"""[tf.Tensor(0.8201725, shape=(), dtype=float32), tf.Tensor(0.5609157, shape=(), dtype=float32), tf.Tensor(0.9149404, shape=(), dtype=float32), tf.Tensor(0.7616561, shape=(), dtype=float32), tf.Tensor(0.72222215, shape=(), dtype=float32), tf.Tensor(0.6266093, shape=(), dtype=float32), tf.Tensor(0.71912825, shape=(), dtype=float32), tf.Tensor(0.7804877, shape=(), dtype=float32), tf.Tensor(0.74861455, shape=(), dtype=float32), tf.Tensor(0.91354465, shape=(), dtype=float32)]""",0.7568291425704956,0.8103366494178772,0.8074378967285156,9.999999747378752e-05,0.574964702129364,0.8812794089317322,0.7369414567947388,0.989350438117981,0.8516886830329895,"""[tf.Tensor(0.87869817, shape=(), dtype=float32), tf.Tensor(0.6549707, shape=(), dtype=float32), tf.Tensor(0.9648033, shape=(), dtype=float32), tf.Tensor(0.8317215, shape=(), dtype=float32), tf.Tensor(0.7928571, shape=(), dtype=float32), tf.Tensor(0.59999996, shape=(), dtype=float32), tf.Tensor(0.7984496, shape=(), dtype=float32), tf.Tensor(0.76923066, shape=(), dtype=float32), tf.Tensor(0.7780041, shape=(), dtype=float32), tf.Tensor(0.9452926, shape=(), dtype=float32)]""",0.801402747631073,0.8516886234283447,0.8527274131774902,0.4611172378063202,0.9105691313743591,0.781204104423523
16,0.9832020401954651,0.8189899325370789,"""[tf.Tensor(0.83049136, shape=(), dtype=float32), tf.Tensor(0.58244455, shape=(), dtype=float32), tf.Tensor(0.9233495, shape=(), dtype=float32), tf.Tensor(0.78290206, shape=(), dtype=float32), tf.Tensor(0.7247494, shape=(), dtype=float32), tf.Tensor(0.63948494, shape=(), dtype=float32), tf.Tensor(0.7369261, shape=(), dtype=float32), tf.Tensor(0.78316325, shape=(), dtype=float32), tf.Tensor(0.7430278, shape=(), dtype=float32), tf.Tensor(0.918559, shape=(), dtype=float32)]""",0.7665098309516907,0.8189899325370789,0.8162288665771484,9.999999747378752e-05,0.5506567358970642,0.8813998699188232,0.7488986849784851,0.9854109287261963,0.8325991034507751,"""[tf.Tensor(0.87826085, shape=(), dtype=float32), tf.Tensor(0.6168831, shape=(), dtype=float32), tf.Tensor(0.96694213, shape=(), dtype=float32), tf.Tensor(0.8090736, shape=(), dtype=float32), tf.Tensor(0.78136194, shape=(), dtype=float32), tf.Tensor(0.488372, shape=(), dtype=float32), tf.Tensor(0.7567567, shape=(), dtype=float32), tf.Tensor(0.71236956, shape=(), dtype=float32), tf.Tensor(0.79217595, shape=(), dtype=float32), tf.Tensor(0.93410844, shape=(), dtype=float32)]""",0.7736304402351379,0.8325990438461304,0.8339916467666626,0.5037593841552734,0.8882377743721008,0.7790014743804932
17,0.9827786684036255,0.8165512681007385,"""[tf.Tensor(0.82672936, shape=(), dtype=float32), tf.Tensor(0.5696102, shape=(), dtype=float32), tf.Tensor(0.9215773, shape=(), dtype=float32), tf.Tensor(0.7628325, shape=(), dtype=float32), tf.Tensor(0.73936576, shape=(), dtype=float32), tf.Tensor(0.6721991, shape=(), dtype=float32), tf.Tensor(0.7245677, shape=(), dtype=float32), tf.Tensor(0.79138505, shape=(), dtype=float32), tf.Tensor(0.75203246, shape=(), dtype=float32), tf.Tensor(0.9171559, shape=(), dtype=float32)]""",0.7677456140518188,0.8165512084960938,0.8140899538993835,9.999999747378752e-05,0.5549014806747437,0.8805170655250549,0.750157356262207,0.986100435256958,0.8381057381629944,"""[tf.Tensor(0.903937, shape=(), dtype=float32), tf.Tensor(0.56470585, shape=(), dtype=float32), tf.Tensor(0.95116764, shape=(), dtype=float32), tf.Tensor(0.7600596, shape=(), dtype=float32), tf.Tensor(0.77536225, shape=(), dtype=float32), tf.Tensor(0.67961156, shape=(), dtype=float32), tf.Tensor(0.6666666, shape=(), dtype=float32), tf.Tensor(0.82123893, shape=(), dtype=float32), tf.Tensor(0.7587939, shape=(), dtype=float32), tf.Tensor(0.94117635, shape=(), dtype=float32)]""",0.7822719812393188,0.8381056785583496,0.8319793939590454,0.48884597420692444,0.8980785012245178,0.7892804741859436
18,0.9829614758491516,0.8202486038208008,"""[tf.Tensor(0.83154356, shape=(), dtype=float32), tf.Tensor(0.5728, shape=(), dtype=float32), tf.Tensor(0.91752106, shape=(), dtype=float32), tf.Tensor(0.77852845, shape=(), dtype=float32), tf.Tensor(0.7592592, shape=(), dtype=float32), tf.Tensor(0.63312364, shape=(), dtype=float32), tf.Tensor(0.74470633, shape=(), dtype=float32), tf.Tensor(0.78013575, shape=(), dtype=float32), tf.Tensor(0.7396569, shape=(), dtype=float32), tf.Tensor(0.92193395, shape=(), dtype=float32)]""",0.7679208517074585,0.820248544216156,0.8177424669265747,9.999999747378752e-05,0.5440124869346619,0.8808128833770752,0.7569226026535034,0.9881643056869507,0.8487518429756165,"""[tf.Tensor(0.8715446, shape=(), dtype=float32), tf.Tensor(0.48514846, shape=(), dtype=float32), tf.Tensor(0.9650923, shape=(), dtype=float32), tf.Tensor(0.82125604, shape=(), dtype=float32), tf.Tensor(0.75471693, shape=(), dtype=float32), tf.Tensor(0.7037036, shape=(), dtype=float32), tf.Tensor(0.76752764, shape=(), dtype=float32), tf.Tensor(0.8018223, shape=(), dtype=float32), tf.Tensor(0.8187633, shape=(), dtype=float32), tf.Tensor(0.9305882, shape=(), dtype=float32)]""",0.792016327381134,0.8487517833709717,0.8404065370559692,0.4532929062843323,0.8974989652633667,0.803597629070282
19,0.9852506518363953,0.8280364871025085,"""[tf.Tensor(0.8384948, shape=(), dtype=float32), tf.Tensor(0.5897435, shape=(), dtype=float32), tf.Tensor(0.9270879, shape=(), dtype=float32), tf.Tensor(0.7659091, shape=(), dtype=float32), tf.Tensor(0.7843438, shape=(), dtype=float32), tf.Tensor(0.66666657, shape=(), dtype=float32), tf.Tensor(0.75980777, shape=(), dtype=float32), tf.Tensor(0.79187804, shape=(), dtype=float32), tf.Tensor(0.7661943, shape=(), dtype=float32), tf.Tensor(0.92165047, shape=(), dtype=float32)]""",0.7811776399612427,0.8280364274978638,0.8255298137664795,9.999999747378752e-05,0.517583429813385,0.884695827960968,0.7653398513793945,0.9892210960388184,0.8586637377738953,"""[tf.Tensor(0.88421047, shape=(), dtype=float32), tf.Tensor(0.49246228, shape=(), dtype=float32), tf.Tensor(0.96523505, shape=(), dtype=float32), tf.Tensor(0.81587297, shape=(), dtype=float32), tf.Tensor(0.77647054, shape=(), dtype=float32), tf.Tensor(0.525, shape=(), dtype=float32), tf.Tensor(0.7704918, shape=(), dtype=float32), tf.Tensor(0.83402485, shape=(), dtype=float32), tf.Tensor(0.79999995, shape=(), dtype=float32), tf.Tensor(0.9644416, shape=(), dtype=float32)]""",0.7828209400177002,0.8586636781692505,0.8510022163391113,0.4339247941970825,0.9080459475517273,0.8120411038398743
